支店コード,部署コード,勘定科目コード,金額
A00100,301,2174,1766
A00100,303,2112,1599
A00100,101,2064,3739
A00100,104,2026,3594
A00100,104,2040,2135
A00100,203,2057,703
A00100,201,2057,4162
A00100,303,2143,1482
A00100,101,2318,1238
A00100,203,2033,4384
A00100,303,2136,1071
A00100,205,2026,3634
A00100,303,2129,1100
A00100,201,2026,1021
A00100,102,2071,1728
A00100,104,2181,3626
A00100,104,2071,2360
A00100,205,1991,1807
A00100,201,2019,303
A00100,201,2033,3781
A00100,203,1991,3306
A00100,303,2291,845
A00100,203,2181,2438
A00100,203,2136,1786
A00100,202,1991,690
A00100,103,2136,687
A00100,302,2040,1020
A00100,204,2129,1637
A00100,201,2095,2435
A00100,101,2112,3694
A00100,301,2095,3504
A00100,101,2174,4577
A00100,205,2095,1042
A00100,203,2318,2868
A00100,303,2019,4834
A00100,101,2136,4896
A00100,301,2181,3924
A00100,101,2394,1686
A00100,302,2019,4739
A00100,203,2167,729
A00100,202,2026,1766
A00100,203,2064,1628
A00100,302,2291,2000
A00100,201,2040,2379
A00100,103,2174,3475
A00100,202,2143,766
A00100,303,2033,631
A00100,201,1991,3172
A00100,202,2394,1698
A00100,205,2112,2413
A00100,102,2112,793
A00100,103,1984,1107
A00100,205,2318,845
A00100,202,2174,3499
A00100,103,2394,3648
A00100,103,2129,617
A00100,302,2167,2303
A00100,201,2394,61
A00100,303,2181,3090
A00100,103,2318,618
A00100,101,2071,4362
A00100,205,2387,424
A00100,302,2033,565
A00100,301,1991,3682
A00100,205,2088,378
A00100,204,2019,2705
A00100,204,2167,1306
A00100,302,2174,2709
A00100,301,2129,3763
A00100,202,1984,3740
A00100,302,2095,4474
A00100,204,2291,4861
A00100,303,2167,535
A00100,102,2136,3594
A00100,102,2167,896
A00100,205,2040,3473
A00100,104,2095,1991
A00100,301,2071,846
A00100,101,2095,3293
A00100,102,2318,397
A00100,204,2095,4957
A00100,303,2394,1138
A00100,104,2143,337
A00100,202,2071,729
A00100,205,2167,4606
A00100,302,2088,1647
A00100,102,2181,2659
A00100,102,2143,4040
A00100,202,2387,1648
A00100,102,1991,428
A00100,301,2088,880
A00100,301,2394,700
A00100,303,2071,3178
A00100,101,2057,3796
A00100,102,2394,1482
A00100,203,2071,3689
A00100,302,1984,2178
A00100,201,2174,3189
A00100,203,2095,1810
A00100,301,2112,3168
A00100,102,2387,2518
A00100,203,2019,1620
A00100,201,2064,2134
A00100,104,2174,4213
A00100,104,2019,3851
A00100,103,2019,1155
A00100,103,2095,4244
A00100,302,2057,3059
A00100,101,2143,2831
A00100,204,2318,956
A00100,303,2318,1116
A00100,103,2071,3101
A00100,104,2394,2376
A00100,101,2088,3883
A00100,301,2387,3790
A00100,101,2033,3897
A00100,301,2136,3944
A00100,303,2057,2262
A00100,102,2064,1328
A00100,303,1984,611
A00100,204,2057,2244
A00100,104,2387,558
A00100,205,2143,654
A00100,102,2291,2030
A00100,202,2040,487
A00100,201,2181,3099
A00100,205,1984,1667
A00100,101,2291,2086
A00100,205,2181,3285
A00100,203,2040,3424
A00100,303,2064,3267
A00100,101,2387,1976
A00100,202,2129,1586
A00100,303,2387,2246
A00100,102,1984,190
A00100,101,2019,1334
A00100,205,2291,1945
A00100,201,2318,4916
A00100,205,2136,3860
A00100,103,2387,2788
A00100,301,2019,4515
A00100,101,1984,4703
A00100,302,2387,741
A00100,103,1991,1556
A00100,101,2129,2555
A00100,302,2129,1675
A00100,104,2129,2263
A00100,202,2167,4767
A00100,203,2174,2070
A00100,103,2167,3198
A00100,303,2088,835
A00100,102,2057,717
A00100,303,2026,2503
A00100,302,1991,1686
A00100,302,2136,4009
A00100,103,2057,550
A00100,101,1991,4413
A00100,302,2394,2289
A00100,202,2095,279
A00100,103,2088,2655
A00100,203,2143,2655
A00100,302,2071,4547
A00100,104,2291,2217
A00100,303,2174,1594
A00100,102,2026,3637
A00100,204,2136,752
A00100,301,2167,1563
A00100,204,2088,4311
A00100,104,2318,1411
A00100,203,2291,1369
A00100,203,1984,1584
A00100,205,2033,4978
A00100,201,1984,2678
A00100,204,2394,4065
A00100,202,2318,1903
A00100,302,2318,328
A00100,101,2026,1252
A00100,102,2088,1966
A00100,301,2057,3135
A00100,303,2040,184
A00100,201,2167,2783
A00100,203,2088,3682
A00100,204,1991,608
A00100,301,1984,4838
A00100,202,2033,454
A00100,303,2095,1439
A00100,104,2057,4990
A00100,102,2040,468
A00100,201,2143,3537
A00100,302,2143,1449
A00100,204,2071,2577
A00100,201,2136,3789
A00100,103,2040,1897
A00100,205,2394,3739
A00100,104,2033,3873
A00100,202,2181,660
A00100,203,2387,1804
A00100,101,2181,2242
A00100,101,2167,492
A00100,201,2291,3262
A00100,301,2026,4898
A00100,104,1984,477
A00100,203,2112,1461
A00100,202,2136,2139
A00100,204,2040,1097
A00100,303,1991,2232
A00100,103,2143,2326
A00100,203,2394,3336
A00100,103,2112,1568
A00100,204,2026,613
A00100,202,2088,1994
A00100,104,1991,3908
A00100,301,2064,4298
A00100,302,2064,1635
A00100,201,2071,3006
A00100,201,2088,4612
A00100,204,2064,4136
A00100,102,2033,1697
A00100,205,2129,828
A00100,202,2019,1869
A00100,301,2318,3787
A00100,301,2143,4112
A00100,103,2181,698
A00100,103,2064,2825
A00100,104,2088,2877
A00100,205,2057,2907
A00100,202,2291,1519
A00100,204,2033,3893
A00100,203,2026,4424
A00100,103,2026,4594
A00100,104,2167,3693
A00100,302,2026,1708
A00100,301,2033,4165
A00100,204,2143,3315
A00100,204,1984,4174
A00100,202,2064,4746
A00100,201,2129,2331
A00100,205,2019,3342
A00100,103,2033,4125
A00100,204,2112,396
A00100,104,2136,146
A00100,302,2112,2668
A00100,205,2071,3244
A00100,201,2112,3041
A00100,101,2040,3920
A00100,204,2174,154
A00100,205,2064,2057
A00100,301,2291,2837
A00100,204,2181,4733
A00100,203,2129,542
A00100,104,2064,799
A00100,102,2174,178
A00100,103,2291,3640
A00100,202,2112,2197
A00100,102,2019,4772
A00100,201,2387,4659
A00100,102,2129,1345
A00100,301,2040,1764
A00100,204,2387,4384
A00100,102,2095,4292
A00100,202,2057,4375
A00100,205,2174,3450
A00100,302,2181,2873
A00100,104,2112,1169
