支店コード,部署コード,勘定科目コード,金額
A00200,202,2019,2265
A00200,302,2167,2778
A00200,202,2071,822
A00200,202,2033,2848
A00200,204,2026,3272
A00200,302,2143,1512
A00200,101,2019,3667
A00200,301,2291,3841
A00200,202,1984,963
A00200,204,2291,4661
A00200,204,2181,3534
A00200,205,2291,1704
A00200,102,1991,4657
A00200,201,2071,1146
A00200,303,2095,1470
A00200,204,1984,631
A00200,103,2088,3081
A00200,104,2095,4803
A00200,102,2291,2518
A00200,104,2387,3848
A00200,201,2040,3135
A00200,101,2143,1400
A00200,203,2167,1661
A00200,103,2136,704
A00200,201,2019,669
A00200,205,1991,1563
A00200,301,2112,308
A00200,203,2143,1573
A00200,102,2040,1391
A00200,102,2174,778
A00200,202,2088,4882
A00200,301,2174,4483
A00200,303,2040,3435
A00200,301,2026,2326
A00200,205,1984,1702
A00200,202,2394,3057
A00200,202,2112,3061
A00200,204,2174,251
A00200,301,2064,1286
A00200,102,2143,281
A00200,203,2071,3513
A00200,303,2136,956
A00200,202,2174,512
A00200,201,2394,4940
A00200,302,2394,4062
A00200,203,2129,3703
A00200,204,2143,817
A00200,201,2136,190
A00200,203,2019,2984
A00200,205,2318,1177
A00200,102,2181,1003
A00200,202,2064,4146
A00200,303,2033,3148
A00200,303,2167,2384
A00200,301,1991,4357
A00200,104,2318,4733
A00200,201,1991,2882
A00200,101,1991,4654
A00200,301,2318,3729
A00200,302,2040,3114
A00200,205,2112,1619
A00200,101,2394,83
A00200,104,2033,1511
A00200,103,2387,632
A00200,204,2019,1647
A00200,104,1984,3187
A00200,101,2129,3700
A00200,203,2057,997
A00200,301,2088,126
A00200,104,2167,4153
A00200,204,2071,155
A00200,203,2026,1015
A00200,204,2136,4714
A00200,301,2394,614
A00200,303,2088,4606
A00200,102,2129,4754
A00200,103,2019,4901
A00200,201,2167,913
A00200,102,2088,232
A00200,103,2143,209
A00200,103,2071,1718
A00200,201,2112,4845
A00200,102,2136,3534
A00200,101,2181,2188
A00200,101,2318,4771
A00200,301,2129,4633
A00200,103,2291,2053
A00200,303,2291,52
A00200,301,2143,397
A00200,104,2064,682
A00200,204,2057,936
A00200,201,2064,1279
A00200,103,1991,2158
A00200,302,2387,3697
A00200,303,2387,4748
A00200,303,2019,2693
A00200,104,2394,3609
A00200,201,1984,4220
A00200,201,2057,533
A00200,204,2040,3608
A00200,204,2095,3878
A00200,205,2394,2797
A00200,203,2394,3335
A00200,302,2181,4052
A00200,202,2057,4318
A00200,202,2387,4829
A00200,104,2088,4428
A00200,101,2064,2086
A00200,203,1984,797
A00200,302,2112,4563
A00200,101,2174,4029
A00200,303,1984,2638
A00200,303,2394,1346
A00200,205,2057,1858
A00200,103,2033,1740
A00200,104,2291,650
A00200,104,2057,139
A00200,205,2129,1298
A00200,201,2129,3451
A00200,101,2387,3955
A00200,202,2143,1050
A00200,102,2387,3783
A00200,204,2318,4153
A00200,205,2064,3995
A00200,101,2095,2286
A00200,101,2136,4178
A00200,102,2318,3743
A00200,204,2112,3767
A00200,205,2136,2895
A00200,103,2064,39
A00200,101,2167,4899
A00200,103,2095,1726
A00200,302,2033,1257
A00200,302,2174,2376
A00200,205,2026,4708
A00200,204,1991,3855
A00200,205,2095,1701
A00200,203,2040,3315
A00200,101,2026,3511
A00200,302,2026,193
A00200,204,2064,3152
A00200,101,2071,1893
A00200,103,2167,3928
A00200,103,1984,3708
A00200,201,2181,3822
A00200,205,2143,4483
A00200,301,2019,504
A00200,202,2129,985
A00200,302,2318,3409
A00200,203,2112,4134
A00200,205,2387,2983
A00200,205,2071,282
A00200,102,2112,1741
A00200,202,2136,1168
A00200,202,2095,4477
A00200,102,2033,447
A00200,203,2181,3498
A00200,302,2088,2545
A00200,303,1991,895
A00200,303,2129,937
A00200,202,2318,445
A00200,104,2026,2017
A00200,202,2040,721
A00200,103,2026,41
A00200,102,2394,980
A00200,302,1991,1954
A00200,103,2318,392
A00200,303,2318,3514
A00200,104,2112,46
A00200,301,2057,699
A00200,302,2095,399
A00200,205,2088,673
A00200,203,2174,4511
A00200,103,2174,988
A00200,205,2040,2641
A00200,301,2387,409
A00200,104,2136,2037
A00200,102,2019,4988
A00200,303,2181,856
A00200,102,2026,838
A00200,201,2095,2382
A00200,101,2040,391
A00200,301,2033,2537
A00200,201,2291,4197
A00200,205,2019,4369
A00200,303,2112,3339
A00200,204,2088,3688
A00200,301,2071,1569
A00200,302,1984,435
A00200,102,2071,1088
A00200,201,2387,115
A00200,202,2181,4075
A00200,103,2394,3401
A00200,101,2033,3178
A00200,205,2033,4361
A00200,102,2057,3221
A00200,203,1991,4297
A00200,302,2064,1481
A00200,101,2057,4302
A00200,104,2181,3832
A00200,203,2387,571
A00200,201,2318,128
A00200,303,2057,3081
A00200,103,2112,3673
A00200,205,2174,2416
A00200,301,2095,1682
A00200,103,2181,999
A00200,101,2088,1981
A00200,303,2071,4530
A00200,204,2129,2077
A00200,302,2136,1005
A00200,202,2167,1616
A00200,101,2112,1748
A00200,104,2143,2169
A00200,201,2033,2731
A00200,102,2167,2084
A00200,204,2387,1787
A00200,104,2019,4804
A00200,202,2291,4178
A00200,203,2033,3044
A00200,104,2129,3239
A00200,103,2057,1752
A00200,203,2064,4774
A00200,201,2088,2098
A00200,301,2181,4843
A00200,102,2064,1041
A00200,201,2143,182
A00200,302,2291,1087
A00200,205,2167,1563
A00200,101,1984,3930
A00200,302,2129,1112
A00200,101,2291,3295
A00200,202,1991,174
A00200,303,2143,3788
A00200,205,2181,4311
A00200,204,2394,2885
A00200,103,2040,4079
A00200,203,2136,947
A00200,203,2318,1585
A00200,303,2026,1862
A00200,301,2136,2124
A00200,104,2040,14
A00200,201,2174,4762
A00200,302,2019,651
A00200,303,2064,1795
A00200,102,1984,3048
A00200,102,2095,1857
A00200,203,2291,2345
A00200,203,2095,918
A00200,104,1991,4247
A00200,204,2033,2999
A00200,301,2040,4402
A00200,301,1984,1984
A00200,301,2167,1761
A00200,203,2088,3502
A00200,103,2129,1545
A00200,201,2026,1523
A00200,303,2174,165
A00200,104,2174,4133
A00200,204,2167,253
A00200,104,2071,1965
A00200,302,2057,2604
A00200,202,2026,2538
A00200,302,2071,982
