支店コード,部署コード,勘定科目コード,金額
B00100,303,2057,3632
B00100,205,2181,2108
B00100,205,2387,3509
B00100,303,2033,3287
B00100,102,2174,3352
B00100,301,2129,3046
B00100,303,2387,1611
B00100,302,2064,1295
B00100,303,2112,4539
B00100,302,2095,2075
B00100,104,2129,3969
B00100,302,2181,3060
B00100,202,2019,3471
B00100,101,1991,2481
B00100,104,2040,3455
B00100,205,2064,923
B00100,301,1984,2226
B00100,101,2143,3449
B00100,203,2174,4110
B00100,203,2387,4356
B00100,204,2064,1958
B00100,204,2387,4387
B00100,204,2033,2261
B00100,204,2167,1554
B00100,203,2143,2431
B00100,202,2291,3270
B00100,203,2318,1208
B00100,104,2095,591
B00100,203,2095,1354
B00100,204,2088,3385
B00100,102,2167,1126
B00100,202,2095,1716
B00100,303,2026,2808
B00100,204,2026,3600
B00100,104,2136,1865
B00100,202,2387,3312
B00100,203,1984,3340
B00100,102,2143,3080
B00100,301,2095,3998
B00100,302,1991,4724
B00100,202,2143,300
B00100,204,2143,1094
B00100,201,2167,2923
B00100,302,2057,1931
B00100,303,1984,1742
B00100,201,2112,2623
B00100,203,2181,1186
B00100,303,2181,2280
B00100,104,2019,2454
B00100,202,2026,897
B00100,101,2064,4668
B00100,104,2291,3511
B00100,205,2088,3628
B00100,201,2181,88
B00100,204,2057,1171
B00100,204,2181,1252
B00100,301,2088,998
B00100,202,2318,878
B00100,104,2387,1034
B00100,103,1984,636
B00100,101,2291,4108
B00100,204,2136,1465
B00100,104,2088,1312
B00100,203,2026,1661
B00100,204,2394,2289
B00100,201,2143,3533
B00100,302,2019,3871
B00100,102,2394,1942
B00100,104,2143,4776
B00100,102,1991,4849
B00100,204,2174,2770
B00100,202,2033,550
B00100,205,2095,3652
B00100,301,2033,3075
B00100,202,2040,2265
B00100,201,2318,1344
B00100,301,2064,477
B00100,205,2143,1604
B00100,205,2318,4010
B00100,201,2174,1355
B00100,103,2129,4371
B00100,103,2291,4219
B00100,102,2071,2760
B00100,101,2026,4381
B00100,301,2394,46
B00100,102,2181,76
B00100,202,2088,1162
B00100,301,2026,164
B00100,303,2174,4504
B00100,102,2129,2902
B00100,301,2112,4535
B00100,102,2291,2195
B00100,301,1991,4038
B00100,204,2112,1162
B00100,203,2088,2615
B00100,101,2174,2753
B00100,205,2129,3009
B00100,204,2040,3207
B00100,101,2112,2585
B00100,202,2394,2033
B00100,303,2095,1647
B00100,303,1991,4449
B00100,201,2064,1196
B00100,103,2136,3633
B00100,201,2291,841
B00100,101,2318,850
B00100,102,2112,3468
B00100,201,2095,1498
B00100,204,2071,956
B00100,102,2019,2267
B00100,102,2033,1409
B00100,204,1991,1058
B00100,301,2040,4267
B00100,201,2136,1442
B00100,103,2040,457
B00100,104,1991,1372
B00100,203,2033,4934
B00100,303,2129,673
B00100,104,2112,2870
B00100,104,2026,583
B00100,302,2394,4652
B00100,301,2167,1565
B00100,102,2387,2265
B00100,302,2129,3630
B00100,103,2057,2179
B00100,103,2026,1725
B00100,202,1984,4407
B00100,301,2057,4203
B00100,302,2040,965
B00100,103,2167,1140
B00100,103,2112,820
B00100,201,2088,4693
B00100,103,2387,2527
B00100,202,2167,391
B00100,205,2026,1001
B00100,205,2019,4937
B00100,102,2318,2556
B00100,202,2064,2120
B00100,201,2387,2296
B00100,103,2394,4872
B00100,301,2136,2085
B00100,204,2129,2114
B00100,103,2143,1089
B00100,101,2040,3455
B00100,203,2167,3322
B00100,202,2057,3516
B00100,201,2026,764
B00100,302,1984,1601
B00100,201,2033,91
B00100,104,2057,787
B00100,204,2095,3612
B00100,103,2181,3244
B00100,205,2174,1414
B00100,101,2088,3921
B00100,205,2167,4321
B00100,303,2291,1095
B00100,302,2026,1550
B00100,103,1991,3744
B00100,204,2318,760
B00100,203,2019,564
B00100,301,2071,736
B00100,103,2033,498
B00100,203,2040,1270
B00100,101,2129,736
B00100,301,2143,2691
B00100,201,1984,1788
B00100,103,2174,3330
B00100,301,2019,1441
B00100,201,2040,3688
B00100,205,2291,617
B00100,102,2040,3074
B00100,205,2112,1359
B00100,302,2387,2501
B00100,302,2143,857
B00100,302,2167,2063
B00100,103,2088,921
B00100,101,2181,2113
B00100,104,2071,4042
B00100,203,2112,3271
B00100,104,2064,2985
B00100,302,2071,75
B00100,104,2318,3050
B00100,203,1991,605
B00100,103,2318,4483
B00100,205,2040,1499
B00100,203,2057,227
B00100,102,2088,1253
B00100,204,1984,697
B00100,103,2071,3260
B00100,202,1991,1406
B00100,205,2136,2356
B00100,101,2019,1951
B00100,205,2394,2476
B00100,303,2136,4247
B00100,201,2057,4053
B00100,303,2064,424
B00100,102,2057,630
B00100,301,2181,4663
B00100,103,2019,2436
B00100,101,2167,1714
B00100,104,1984,341
B00100,303,2143,442
B00100,302,2112,2436
B00100,202,2112,2498
B00100,202,2174,3031
B00100,102,2026,525
B00100,102,1984,3404
B00100,101,2033,2060
B00100,201,2394,88
B00100,201,1991,4181
B00100,102,2095,707
B00100,102,2064,4917
B00100,203,2291,4407
B00100,205,1991,1168
B00100,204,2291,2104
B00100,203,2129,2230
B00100,101,2394,254
B00100,203,2136,1420
B00100,201,2019,932
B00100,301,2318,2616
B00100,202,2181,1661
B00100,302,2318,3718
B00100,205,2071,2814
B00100,104,2167,3770
B00100,204,2019,3905
B00100,103,2064,405
B00100,301,2291,3339
B00100,302,2033,2587
B00100,203,2071,3678
B00100,104,2394,3835
B00100,302,2088,4091
B00100,101,2387,3134
B00100,102,2136,3776
B00100,203,2064,973
B00100,101,1984,4411
B00100,303,2019,4269
B00100,101,2136,741
B00100,101,2057,1116
B00100,104,2181,3505
B00100,303,2071,4735
B00100,202,2071,288
B00100,302,2136,646
B00100,303,2318,4018
B00100,301,2174,1641
B00100,201,2129,2979
B00100,104,2033,1217
B00100,202,2129,2441
B00100,103,2095,1367
B00100,205,1984,3386
B00100,203,2394,2229
B00100,303,2167,1401
B00100,205,2057,2608
B00100,301,2387,3104
B00100,205,2033,3091
B00100,303,2394,4646
B00100,202,2136,123
B00100,201,2071,1676
B00100,101,2071,610
B00100,101,2095,856
B00100,302,2291,389
B00100,303,2088,888
B00100,302,2174,130
B00100,303,2040,3352
B00100,104,2174,3555
