支店コード,部署コード,勘定科目コード,金額
C00200,202,2136,3228
C00200,101,2174,2816
C00200,102,2095,1908
C00200,205,2095,4989
C00200,101,2057,1607
C00200,303,2318,2020
C00200,201,2026,2070
C00200,104,2394,2327
C00200,203,2167,1445
C00200,201,2057,4863
C00200,202,2167,3620
C00200,201,2387,215
C00200,104,2033,1186
C00200,101,2129,2872
C00200,204,2181,2145
C00200,203,2387,4545
C00200,202,2181,192
C00200,301,2088,3715
C00200,101,1991,4942
C00200,302,2136,4555
C00200,204,2057,2639
C00200,202,2129,58
C00200,203,2394,4
C00200,205,2136,1810
C00200,203,2033,3514
C00200,302,2112,2411
C00200,103,2057,4028
C00200,102,1984,3460
C00200,202,2064,1680
C00200,203,2112,4015
C00200,102,2112,873
C00200,102,2033,3099
C00200,301,2033,2596
C00200,204,2033,4646
C00200,302,2129,2099
C00200,302,2181,3651
C00200,104,2291,2876
C00200,104,2088,1803
C00200,104,2181,4046
C00200,104,2040,2931
C00200,203,2095,4797
C00200,101,1984,1736
C00200,303,2291,920
C00200,301,2071,3906
C00200,102,2064,315
C00200,205,2019,3389
C00200,204,2064,2010
C00200,104,2129,1008
C00200,203,2129,722
C00200,103,2167,2405
C00200,204,2040,1239
C00200,301,1991,3717
C00200,203,2181,3648
C00200,205,2033,1063
C00200,101,2112,2344
C00200,203,1991,3623
C00200,301,2040,4905
C00200,103,2143,4874
C00200,204,2394,1577
C00200,203,2064,3002
C00200,101,2143,4018
C00200,205,2318,733
C00200,205,2064,3036
C00200,101,2394,1217
C00200,103,2387,960
C00200,202,2174,1620
C00200,104,2019,3220
C00200,301,2143,2317
C00200,301,2112,479
C00200,303,2026,174
C00200,205,2167,3408
C00200,303,2136,2267
C00200,301,2387,3578
C00200,301,2064,1709
C00200,302,2064,3430
C00200,203,2071,4929
C00200,101,2136,1876
C00200,201,2071,2886
C00200,103,2071,2260
C00200,104,1991,3933
C00200,205,2040,2279
C00200,101,2033,1290
C00200,301,2167,2803
C00200,205,2088,1469
C00200,303,2112,4552
C00200,101,2088,3174
C00200,303,2167,26
C00200,102,2026,4337
C00200,202,2033,4729
C00200,302,2026,285
C00200,103,2129,1178
C00200,201,2167,2827
C00200,202,2394,3866
C00200,205,1991,4002
C00200,202,1991,611
C00200,202,2143,4258
C00200,101,2071,2477
C00200,202,2318,3206
C00200,205,2143,567
C00200,103,2112,1755
C00200,102,2291,2808
C00200,204,2174,3978
C00200,301,2174,2204
C00200,302,2040,3572
C00200,101,2318,2014
C00200,204,2318,1956
C00200,205,2181,1509
C00200,303,2181,1492
C00200,104,2136,1295
C00200,205,1984,4189
C00200,101,2095,3425
C00200,103,2181,1076
C00200,302,2291,890
C00200,204,2167,2455
C00200,103,2040,27
C00200,102,2129,4562
C00200,201,1991,1923
C00200,204,2129,4711
C00200,204,2019,2072
C00200,303,2143,2879
C00200,302,1984,1689
C00200,205,2174,3560
C00200,101,2181,260
C00200,205,2394,4183
C00200,202,2019,2411
C00200,203,2143,1372
C00200,102,2394,70
C00200,201,2112,4610
C00200,102,2071,3254
C00200,303,2019,2773
C00200,203,2040,2484
C00200,303,2394,1616
C00200,202,2112,3728
C00200,104,2095,2131
C00200,104,2026,3483
C00200,103,2064,4933
C00200,205,2112,4258
C00200,102,2318,3017
C00200,302,2071,3124
C00200,302,2143,2527
C00200,201,2033,3494
C00200,205,2071,2115
C00200,202,2026,1503
C00200,104,2174,2280
C00200,103,2019,150
C00200,204,2143,4178
C00200,201,2143,518
C00200,204,2095,1205
C00200,202,2095,791
C00200,302,2033,201
C00200,104,2112,3386
C00200,201,2291,2722
C00200,101,2019,987
C00200,201,2318,3756
C00200,201,2019,2139
C00200,303,2088,4707
C00200,102,2040,4558
C00200,302,2057,128
C00200,303,2033,2398
C00200,102,2387,2111
C00200,103,2394,2762
C00200,301,2129,3027
C00200,101,2167,2313
C00200,302,2174,644
C00200,301,2394,1664
C00200,303,1984,2683
C00200,101,2026,3297
C00200,202,2088,4223
C00200,203,2057,4070
C00200,301,2095,3140
C00200,203,2088,4042
C00200,201,2088,4314
C00200,104,2143,4657
C00200,104,2318,4683
C00200,301,2136,1977
C00200,204,2136,906
C00200,103,2026,4130
C00200,303,2174,3701
C00200,303,2129,1575
C00200,302,2394,3214
C00200,203,2291,1927
C00200,201,2064,545
C00200,102,2057,2176
C00200,104,2387,1854
C00200,301,2019,410
C00200,104,2064,2110
C00200,203,2019,2316
C00200,202,2291,4744
C00200,301,2057,1428
C00200,301,2181,2371
C00200,104,2167,842
C00200,102,2088,3745
C00200,102,2143,3647
C00200,302,2167,2390
C00200,103,1984,4766
C00200,205,2026,2959
C00200,104,2071,229
C00200,303,2064,243
C00200,204,2088,1897
C00200,201,2136,4374
C00200,201,2129,2037
C00200,104,2057,130
C00200,103,2318,3191
C00200,104,1984,1487
C00200,204,1991,2616
C00200,103,2174,4030
C00200,103,2291,154
C00200,103,2136,2711
C00200,103,2033,2020
C00200,302,2019,1788
C00200,301,1984,4616
C00200,301,2026,2315
C00200,201,2174,4288
C00200,102,2181,1658
C00200,203,2174,1273
C00200,204,2026,1668
C00200,201,2095,3718
C00200,202,2071,715
C00200,204,2291,4613
C00200,205,2057,296
C00200,103,1991,402
C00200,102,2167,769
C00200,201,2394,835
C00200,101,2291,4662
C00200,203,2026,4910
C00200,102,1991,900
C00200,202,1984,1366
C00200,203,1984,1859
